ID,country,latitude,longitude,truck_suitability,operator_name,max_power_kW,price_€/kWh
1,DE,48.14117540,11.73678760,yes,Allego,150,0.640€
2,DE,50.32452900,11.78499960,limited,Allego,300,0.640€
3,DE,50.99108210,7.84167334,limited,Allego,300,0.640€
4,DE,52.17403000,11.49524000,limited,Allego,300,0.640€
5,DE,54.47766000,9.54508000,limited,Allego,300,0.640€
6,DE,52.27878000,9.35073000,limited,Allego,300,0.640€
7,DE,49.84000000,8.14348000,limited,Allego,300,0.640€
8,DE,53.06713000,12.53300000,limited,Allego,300,0.640€
9,DE,53.38083000,11.62645000,limited,Allego,300,0.640€
10,DE,53.52549000,8.62171000,limited,Allego,150,0.640€
11,DE,48.04249000,10.62030000,limited,Allego,300,0.640€
12,DE,53.83249000,10.65118000,limited,Allego,150,0.640€
13,DE,47.81381000,12.36653000,limited,Allego,300,0.640€
14,DE,48.99549000,12.15123000,limited,Allego,300,0.640€
15,DE,52.23778000,8.16322000,limited,Allego,300,0.640€
16,DE,48.51072000,11.58235000,limited,Allego,300,0.640€
17,DE,50.86574000,11.77260000,limited,Allego,300,0.640€
18,DE,51.69578000,7.96634000,limited,Allego,300,0.640€
19,DE,53.84584000,9.93593000,limited,Allego,300,0.640€
20,DE,51.45080000,11.30511000,limited,Allego,300,0.640€
21,DE,50.02655000,8.58738000,limited,Allego,300,0.640€
22,DE,49.92372000,7.82567000,limited,Allego,300,0.640€
23,DE,54.13767000,12.11458000,limited,Allego,150,0.640€
24,DE,51.00464000,9.47938000,limited,Allego,300,0.640€
25,DE,49.28836126,11.44208036,limited,Avia,400,0.450€
26,DE,48.94272075,10.91565173,limited,Avia,200,0.450€
27,DE,53.11922451,8.25811080,limited,Avia,400,0.450€
28,DE,51.55715834,8.14427340,limited,Avia,400,0.450€
29,DE,52.54412450,13.64759550,yes,Aral,300,0.495€
30,DE,49.25875690,10.50149470,yes,Aral,300,0.495€
31,DE,53.50574380,10.08966570,yes,Aral,300,0.495€
32,DE,49.67314190,8.59718890,yes,Aral,300,0.495€
33,DE,50.03734740,11.49063360,yes,Aral,300,0.495€
34,DE,49.31141060,11.00160650,yes,Aral,300,0.495€
35,DE,50.46912000,8.13724200,yes,Aral,300,0.495€
36,DE,49.99629030,7.68406490,yes,Aral,300,0.495€
37,DE,49.44476040,10.25055670,yes,Aral,300,0.495€
38,DE,48.83895580,12.11916110,yes,Aral,300,0.495€
39,DE,49.55016448,8.44994550,yes,Aral,300,0.495€
40,DE,49.00188113,12.36535482,yes,Aral,300,0.495€
41,DE,50.64683454,7.33748317,yes,Aral,300,0.495€
42,DE,48.48286690,12.00046950,yes,Aral,300,0.495€
43,DE,53.52110796,8.12362293,yes,Aral,300,0.495€
44,DE,51.00671070,9.47292390,yes,Aral,300,0.495€
45,DE,49.27193680,8.33876270,yes,Aral,300,0.495€
46,DE,53.71797120,9.75959430,yes,Aral,300,0.495€
47,DE,53.08783370,8.71225440,yes,Aral,300,0.495€
48,DE,49.65493270,8.35976960,yes,Aral,300,0.495€
49,DE,49.99341160,8.38624060,yes,Aral,300,0.495€
50,DE,54.02225820,12.23059960,yes,Aral,300,0.495€
51,DE,48.50558740,8.82707390,yes,Aral,300,0.495€
52,DE,51.16914780,6.82348550,yes,Aral,300,0.495€
53,DE,52.00190790,10.13518520,yes,Aral,300,0.495€
54,DE,51.53205170,7.44120150,yes,Aral,300,0.495€
55,DE,48.25054290,11.60682480,yes,Aral,300,0.495€
56,DE,51.91109591,13.79716013,limited,Aral,300,0.640€
57,DE,53.91072000,11.75858000,limited,Aral,300,0.640€
58,DE,53.95974000,10.26103000,limited,Aral,300,0.640€
59,DE,49.69866000,11.06365000,limited,Aral,300,0.640€
60,DE,51.89656000,11.69218000,limited,Aral,300,0.640€
61,DE,52.31148000,10.82343000,limited,Aral,300,0.640€
62,DE,50.89218000,6.96647000,limited,Aral,300,0.640€
63,DE,50.89345000,12.94600000,limited,Aral,300,0.640€
64,DE,52.67353000,9.68823000,limited,Aral,300,0.640€
65,DE,50.46836000,8.13826000,limited,Aral,300,0.640€
66,DE,50.93452000,11.38950000,limited,Aral,300,0.640€
67,DE,51.40038000,7.69776000,limited,Aral,300,0.640€
68,DE,49.73350617,11.05660901,limited,Aral,400,0.640€
69,DE,51.76496000,7.91239000,limited,Aral,150,0.640€
70,DE,51.39920000,12.19135000,limited,Aral,300,0.640€
71,DE,48.45527000,8.69962860,limited,Aral,300,0.640€
72,DE,53.91844000,10.12850000,limited,Aral,300,0.640€
73,DE,51.68328000,8.72074000,limited,Aral,300,0.640€
74,DE,52.60071000,10.10750000,limited,Aral,300,0.640€
75,DE,51.59755000,8.51562000,limited,Aral,300,0.640€
76,DE,51.50149000,7.25802000,limited,Aral,300,0.640€
77,DE,51.81781000,6.44399000,limited,Aral,300,0.640€
78,DE,50.01367000,8.79465000,limited,Aral,300,0.640€
79,DE,52.14666000,7.73593000,limited,Aral,300,0.640€
80,DE,48.15667000,7.74506000,limited,Aral,300,0.640€
81,DE,49.69840429,10.85445591,limited,Aral,300,0.640€
82,DE,53.53648000,10.06480000,limited,Aral,300,0.640€
83,DE,54.18047000,9.94394000,limited,Aral,300,0.640€
84,DE,51.17733000,12.00934000,limited,Aral,300,0.640€
85,DE,53.27503000,10.40135000,limited,Aral,300,0.640€
86,DE,52.32197240,10.47796024,limited,Aral,300,0.640€
87,DE,48.85062390,9.10541980,limited,Aral,300,0.640€
88,DE,51.65140000,7.66276000,limited,Aral,300,0.640€
89,DE,51.25601000,12.72606000,limited,Aral,300,0.640€
90,DE,51.50177000,7.21276000,limited,Aral,300,0.640€
91,DE,50.05456000,11.62246000,limited,Aral,300,0.640€
92,DE,52.49153000,8.07849000,limited,Aral,300,0.640€
93,DE,51.62018000,6.20997000,limited,Aral,300,0.640€
94,DE,51.31078000,6.29085000,limited,Aral,300,0.640€
95,DE,51.25635000,9.41330000,limited,Aral,300,0.640€
96,DE,51.37194000,12.47537000,limited,Aral,300,0.640€
97,DE,47.60761000,9.58679000,limited,Aral,300,0.640€
98,DE,51.49424000,7.33896000,limited,Aral,300,0.640€
99,DE,51.38562000,12.38991000,limited,Aral,300,0.640€
100,DE,53.33911000,10.21962000,limited,Aral,300,0.640€
101,DE,49.00011000,12.14799000,limited,Aral,300,0.640€
102,DE,52.59667000,13.60025000,limited,Aral,300,0.640€
103,DE,50.97699690,7.00728740,limited,Aral,300,0.640€
104,DE,48.51629000,9.75942000,limited,Aral,300,0.640€
105,DE,50.72478000,12.77884000,limited,Aral,300,0.640€
106,DE,48.27483000,7.78526000,limited,Aral,300,0.640€
107,DE,51.68925315,11.76663462,limited,Aral,300,0.640€
108,DE,47.84594000,8.55537000,limited,Aral,300,0.640€
109,DE,52.37814500,13.31190700,limited,Aral,300,0.640€
110,DE,51.55337000,8.15854000,limited,Aral,300,0.640€
111,DE,52.31446000,13.66279000,limited,Aral,300,0.640€
112,DE,51.88867000,13.83739000,limited,Aral,300,0.640€
113,DE,53.50231000,11.09785000,limited,Aral,300,0.640€
114,DE,53.80370000,9.93882000,limited,Aral,300,0.640€
115,DE,53.26267000,7.75589000,limited,Aral,300,0.640€
116,DE,51.22584000,14.90219000,limited,Aral,300,0.640€
117,DE,53.28856000,9.50774000,limited,Aral,300,0.640€
118,DE,53.11137372,8.75285667,limited,Aral,300,0.640€
119,DE,53.02066000,8.68774000,limited,Aral,300,0.640€
120,DE,51.73091498,9.97298577,limited,Aral,300,0.640€
121,DE,54.51897000,9.46454000,limited,Aral,300,0.640€
122,DE,49.21082802,9.07010597,limited,Aral,300,0.640€
123,DE,53.48987000,10.11481000,limited,Aral,300,0.640€
124,DE,51.47754000,7.22776000,limited,Aral,300,0.640€
125,DE,49.15742000,11.04115000,limited,Aral,300,0.640€
126,DE,52.20934000,11.13259000,limited,Aral,300,0.640€
127,DE,50.07203064,12.09714588,yes,Citywatt,300,0.390€
128,DE,52.30377477,8.03560384,limited,Citywatt,300,0.390€
129,DE,50.28914582,11.01873396,limited,Citywatt,300,0.390€
130,DE,49.64372423,8.36260846,limited,Citywatt,300,0.390€
131,DE,47.76620603,12.10592102,yes,Dettendorfer Energy,400,0.450€
132,DE,53.51366897,9.91643350,yes,E.ON,400,0.395€
133,DE,54.09272000,9.92966000,limited,E.ON,175,0.395€
134,DE,54.06939646,9.98515322,limited,E.ON,175,0.395€
135,DE,50.02959393,8.28472488,yes,Elli,300,0.640€
136,DE,51.01717050,10.13641010,limited,EnBW,300,0.640€
137,DE,51.56715900,7.67435400,limited,EnBW,300,0.640€
138,DE,50.96852535,11.85521064,limited,EnBW,300,0.640€
139,DE,53.04492280,8.22013115,limited,EnBW,300,0.640€
140,DE,53.04499142,8.22015298,limited,EnBW,300,0.640€
141,DE,50.54654991,11.80362934,limited,EnBW,300,0.640€
142,DE,51.38563000,11.87943000,limited,EnBW,300,0.640€
143,DE,51.69217000,11.76734000,limited,EnBW,300,0.640€
144,DE,51.17768000,12.01086000,limited,EnBW,300,0.640€
145,DE,52.59770000,13.60176000,limited,EnBW,300,0.640€
146,DE,53.50257000,11.08753000,limited,EnBW,300,0.640€
147,DE,53.29823000,11.53300000,limited,EnBW,300,0.640€
148,DE,53.59906000,9.84325000,limited,EnBW,150,0.640€
149,DE,54.18039000,9.94314000,limited,EnBW,300,0.640€
150,DE,53.71855000,9.75894000,limited,EnBW,300,0.640€
151,DE,53.65727000,9.81385000,limited,EnBW,150,0.640€
152,DE,53.16141000,9.47389000,limited,EnBW,150,0.640€
153,DE,53.05580000,8.50128000,limited,EnBW,300,0.640€
154,DE,53.05439000,8.50156000,limited,EnBW,300,0.640€
155,DE,53.00853000,8.70577000,limited,EnBW,300,0.640€
156,DE,53.05942000,9.16514000,limited,EnBW,400,0.640€
157,DE,53.09951000,9.98189000,limited,EnBW,300,0.640€
158,DE,53.10930000,9.98400000,limited,EnBW,300,0.640€
159,DE,52.94497000,9.88173000,limited,EnBW,300,0.640€
160,DE,52.48631000,9.84509000,limited,EnBW,300,0.640€
161,DE,51.99626000,8.59484000,limited,EnBW,300,0.640€
162,DE,50.73798000,9.24639000,limited,EnBW,300,0.640€
163,DE,51.29028000,6.80451000,limited,EnBW,300,0.640€
164,DE,51.07031000,6.30264000,limited,EnBW,300,0.640€
165,DE,51.47613000,7.15332000,limited,EnBW,300,0.640€
166,DE,51.63693000,6.74697000,limited,EnBW,300,0.640€
167,DE,51.63582000,6.74491000,limited,EnBW,300,0.640€
168,DE,51.38900000,6.24387000,limited,EnBW,150,0.640€
169,DE,52.06886000,6.98517000,limited,EnBW,150,0.640€
170,DE,52.52832000,7.19985000,limited,EnBW,300,0.640€
171,DE,50.95167000,7.31803000,limited,EnBW,300,0.640€
172,DE,50.95195000,7.32066000,limited,EnBW,300,0.640€
173,DE,50.82965000,6.47601000,limited,EnBW,300,0.640€
174,DE,50.60393000,7.33096000,limited,EnBW,300,0.640€
175,DE,49.69070000,6.89960000,limited,EnBW,300,0.640€
176,DE,49.69018000,6.89697000,limited,EnBW,300,0.640€
177,DE,50.06848000,6.88033000,limited,EnBW,300,0.640€
178,DE,50.00190000,8.10796000,limited,EnBW,300,0.640€
179,DE,49.92565000,7.93501000,limited,EnBW,400,0.640€
180,DE,49.96344000,7.76568000,limited,EnBW,300,0.640€
181,DE,49.83542000,7.99602000,limited,EnBW,400,0.640€
182,DE,50.43911000,7.64744000,limited,EnBW,300,0.640€
183,DE,50.52148000,7.69559000,limited,EnBW,300,0.640€
184,DE,50.52295000,7.67514000,limited,EnBW,300,0.640€
185,DE,50.31742000,7.49789000,limited,EnBW,300,0.640€
186,DE,50.31658000,7.49883000,limited,EnBW,300,0.640€
187,DE,50.45435000,7.87298000,limited,EnBW,300,0.640€
188,DE,50.44773000,7.85037000,limited,EnBW,300,0.640€
189,DE,50.42314000,7.92839000,limited,EnBW,300,0.640€
190,DE,50.38222000,7.26951000,limited,EnBW,300,0.640€
191,DE,50.87760000,7.94575000,limited,EnBW,300,0.640€
192,DE,50.79276000,7.87799000,limited,EnBW,300,0.640€
193,DE,51.54717000,8.13346000,limited,EnBW,300,0.640€
194,DE,50.32997000,8.93443000,limited,EnBW,300,0.640€
195,DE,49.81213000,8.57935000,limited,EnBW,300,0.640€
196,DE,49.81247000,8.57689000,limited,EnBW,300,0.640€
197,DE,49.89264000,8.54391000,limited,EnBW,300,0.640€
198,DE,49.64315000,8.55200000,limited,EnBW,300,0.640€
199,DE,49.27041000,8.15394000,limited,EnBW,300,0.640€
200,DE,49.26976000,8.15181000,limited,EnBW,300,0.640€
201,DE,49.31710000,8.57589000,limited,EnBW,150,0.640€
202,DE,48.50756000,8.82821000,limited,EnBW,150,0.640€
203,DE,48.98309000,10.19342000,limited,EnBW,150,0.640€
204,DE,49.32399000,9.41218000,limited,EnBW,150,0.640€
205,DE,48.90799000,8.77373000,limited,EnBW,150,0.640€
206,DE,49.16094000,8.56700000,limited,EnBW,150,0.640€
207,DE,47.99724000,11.67594000,limited,EnBW,300,0.640€
208,DE,48.12757000,10.83423000,limited,EnBW,300,0.640€
209,DE,47.84750000,10.28277000,limited,EnBW,300,0.640€
210,DE,47.92453000,9.53494000,limited,EnBW,150,0.640€
211,DE,48.58397000,10.17572000,limited,EnBW,150,0.640€
212,DE,49.41097000,11.54418000,limited,EnBW,400,0.640€
213,DE,49.31332000,12.15875000,limited,EnBW,300,0.640€
214,DE,48.97292000,12.06534000,limited,EnBW,300,0.640€
215,DE,49.62161000,9.73093000,limited,EnBW,150,0.640€
216,DE,49.62668000,9.72813000,limited,EnBW,150,0.640€
217,DE,52.52788000,7.19652000,limited,EnBW,300,0.640€
218,DE,50.07014000,6.88099000,limited,EnBW,300,0.640€
219,DE,50.15035000,9.02948000,limited,EnBW,300,0.640€
220,DE,47.84821000,10.28064000,limited,EnBW,300,0.640€
221,DE,53.99873903,9.92966721,limited,GP Joule,300,0.390€
222,DE,54.77935706,9.33365959,limited,GP Joule,300,0.390€
223,DE,54.77794800,9.33667100,limited,GP Joule,300,0.390€
224,DE,53.69252954,10.32026221,yes,IONITY,350,0.640€
225,DE,53.29998100,9.53255700,limited,IONITY,350,0.640€
226,DE,53.29908700,9.53517000,limited,IONITY,350,0.640€
227,DE,52.32056850,7.43006760,limited,IONITY,350,0.640€
228,DE,52.16011800,12.77990600,limited,IONITY,350,0.640€
229,DE,51.73910300,6.59518000,limited,IONITY,350,0.640€
230,DE,51.47408200,7.15142900,limited,IONITY,350,0.640€
231,DE,48.51664400,9.75694600,limited,IONITY,350,0.640€
232,DE,48.22361888,10.09772365,limited,IONITY,350,0.640€
233,DE,48.41161000,10.91490000,limited,IONITY,350,0.640€
234,DE,49.24283000,10.35307000,limited,IONITY,350,0.640€
235,DE,49.24107000,10.35577000,limited,IONITY,350,0.640€
236,DE,50.64766000,7.33452000,limited,IONITY,350,0.640€
237,DE,49.92578000,7.93680000,limited,IONITY,350,0.640€
238,DE,49.16125000,8.56723000,limited,IONITY,350,0.640€
239,DE,48.58429000,10.17900000,limited,IONITY,350,0.640€
240,DE,48.58394000,10.17560000,limited,IONITY,350,0.640€
241,DE,50.62294000,8.89485000,limited,IONITY,350,0.640€
242,DE,52.17393000,11.49511000,limited,IONITY,350,0.640€
243,DE,52.53923000,8.11460000,limited,IONITY,350,0.640€
244,DE,52.54076000,8.11270000,limited,IONITY,350,0.640€
245,DE,47.90652000,11.71753000,limited,IONITY,350,0.640€
246,DE,48.93175000,12.70825000,limited,IONITY,350,0.640€
247,DE,48.93104000,12.70542000,limited,IONITY,350,0.640€
248,DE,49.78085000,10.24480000,limited,IONITY,350,0.640€
249,DE,49.77935000,10.24649000,limited,IONITY,350,0.640€
250,DE,48.05927000,10.84679000,limited,IONITY,350,0.640€
251,DE,48.05833000,10.84769000,limited,IONITY,350,0.640€
252,DE,51.69585000,7.96620000,limited,IONITY,350,0.640€
253,DE,52.31818000,13.49471000,limited,IONITY,350,0.640€
254,DE,51.29015000,12.13760000,limited,IONITY,350,0.640€
255,DE,50.07019000,6.88091000,limited,IONITY,350,0.640€
256,DE,50.06849000,6.88021000,limited,IONITY,350,0.640€
257,DE,50.44153000,7.22399000,limited,IONITY,350,0.640€
258,DE,49.48556000,10.21327000,limited,IONITY,350,0.640€
259,DE,49.48439000,10.21199000,limited,IONITY,350,0.640€
260,DE,48.58807000,13.36667000,limited,IONITY,350,0.640€
261,DE,48.69253000,12.67298000,limited,IONITY,350,0.640€
262,DE,51.15841000,7.23033000,limited,IONITY,350,0.640€
263,DE,50.05471000,8.90818000,limited,IONITY,350,0.640€
264,DE,47.80284000,12.17850000,limited,IONITY,350,0.640€
265,DE,51.45097000,11.30515000,limited,IONITY,350,0.640€
266,DE,50.85675000,12.31320000,limited,IONITY,350,0.640€
267,DE,51.15681000,6.96480000,limited,IONITY,350,0.640€
268,DE,51.15806000,6.96168000,limited,IONITY,350,0.640€
269,DE,53.85567000,13.33334000,limited,IONITY,350,0.640€
270,DE,49.53236000,12.13491000,limited,IONITY,350,0.640€
271,DE,53.89322000,11.51310000,limited,IONITY,350,0.640€
272,DE,53.50187000,11.08761000,limited,IONITY,350,0.640€
273,DE,52.43771000,10.80907000,limited,IONITY,350,0.640€
274,DE,54.08110030,12.19359590,yes,IONITY,350,0.640€
275,DE,51.63650139,12.20017854,limited,IONITY,350,0.640€
276,DE,51.00809097,9.48202705,limited,IONITY,350,0.640€
277,DE,48.83656188,11.47236615,limited,IONITY,350,0.640€
278,DE,49.31294988,11.47471970,limited,IONITY,350,0.640€
279,DE,51.40211133,9.18425316,limited,IONITY,350,0.640€
280,DE,52.31926423,13.59516790,yes,E.ON,400,0.395€
281,DE,51.08320808,13.68098637,yes,E.ON,400,0.395€
282,DE,50.81922122,12.85762219,yes,E.ON,400,0.395€
283,DE,53.86870963,10.61081803,yes,E.ON,400,0.395€
284,DE,50.58398729,8.64579699,yes,E.ON,400,0.395€
285,DE,51.50265044,7.25610733,yes,E.ON,400,0.395€
286,DE,51.49831243,6.99681758,yes,E.ON,400,0.395€
287,DE,49.98927377,6.91417409,yes,E.ON,400,0.395€
288,DE,49.96157215,8.25540292,yes,E.ON,400,0.395€
289,DE,50.38983491,7.56705501,yes,E.ON,400,0.395€
290,DE,50.12909145,8.58506034,yes,E.ON,400,0.395€
291,DE,48.84900839,9.11315611,yes,E.ON,400,0.395€
292,DE,49.02132085,8.45943111,yes,E.ON,400,0.395€
293,DE,48.22424014,11.48006999,yes,E.ON,400,0.395€
294,DE,52.33751868,14.06727877,yes,E.ON,400,0.395€
295,DE,49.96902000,11.60882000,yes,E.ON,400,0.395€
296,DE,49.17163971,10.24044040,yes,mblty,300,0.590€
297,DE,50.80315689,11.89445070,limited,mblty,300,0.590€
298,DE,54.05492393,12.63069601,yes,Mer,300,0.390€
299,DE,51.26832892,9.52314425,yes,Mer,300,0.390€
300,DE,50.58132994,9.70660085,yes,Mer,400,0.390€
301,DE,51.84998472,12.34321362,yes,Milence,400,0.395€
302,DE,50.88921486,11.86982305,yes,Milence,400,0.395€
303,DE,50.05808949,11.60886987,yes,Milence,400,0.395€
304,DE,49.17529056,9.96224227,yes,Milence,400,0.395€
305,DE,50.34693203,7.50639945,yes,Milence,400,0.395€
306,DE,51.59290907,7.22213528,yes,Milence,400,0.395€
307,DE,50.48960047,7.75400719,yes,Milence,400,0.395€
308,DE,53.31457823,8.67052108,yes,Park Your Truck,350,0.390€
309,DE,52.51150630,11.74310720,yes,Park Your Truck,350,0.390€
310,DE,52.38939000,9.57853780,yes,Park Your Truck,350,0.390€
311,DE,52.31681950,13.66971690,yes,Park Your Truck,350,0.390€
312,DE,52.28191617,10.92618380,yes,Park Your Truck,350,0.390€
313,DE,52.25161571,10.98825243,yes,Park Your Truck,350,0.390€
314,DE,52.15993050,12.78054770,yes,Park Your Truck,350,0.390€
315,DE,52.05099572,11.46644770,yes,Park Your Truck,350,0.390€
316,DE,51.81582930,12.29868440,yes,Park Your Truck,350,0.390€
317,DE,51.64680510,12.23474830,yes,Park Your Truck,350,0.390€
318,DE,51.45788580,11.02172040,yes,Park Your Truck,350,0.390€
319,DE,51.26539390,6.99189704,yes,Park Your Truck,350,0.390€
320,DE,51.21877420,12.75372030,yes,Park Your Truck,350,0.390€
321,DE,51.18051381,14.36425590,yes,Park Your Truck,350,0.390€
322,DE,51.14212370,9.39007180,yes,Park Your Truck,350,0.390€
323,DE,50.89203870,10.84313870,yes,Park Your Truck,350,0.390€
324,DE,49.14230790,9.21485450,yes,Park Your Truck,350,0.390€
325,DE,48.82975134,8.87249390,yes,Park Your Truck,350,0.390€
326,DE,48.81027805,11.46752714,yes,Park Your Truck,350,0.390€
327,DE,48.39393310,11.07077230,yes,Park Your Truck,350,0.390€
328,DE,48.38176560,13.31473590,yes,Park Your Truck,350,0.390€
329,DE,52.37320700,10.75100920,yes,Park Your Truck,350,0.390€
330,DE,51.70084286,8.74481749,yes,Park Your Truck,350,0.390€
331,DE,48.30975461,11.64364556,yes,Park Your Truck,350,0.390€
332,DE,49.55415461,8.39932862,yes,Pfalzwerke,300,0.790€
333,DE,49.54935221,8.39732477,yes,Pfalzwerke,150,0.790€
334,DE,52.60271454,13.51442432,yes,Shell,350,0.640€
335,DE,53.51860455,10.02284340,yes,Shell,360,0.640€
336,DE,53.29311960,9.50345010,yes,Shell,350,0.640€
337,DE,53.49732120,8.62314460,yes,Shell,300,0.640€
338,DE,53.01859665,9.06937313,yes,Shell,350,0.640€
339,DE,52.44857865,9.70461574,yes,Shell,300,0.640€
340,DE,51.27204920,9.52717540,yes,Shell,300,0.640€
341,DE,50.83884430,9.57468128,yes,Shell,300,0.640€
342,DE,52.30188751,7.95364714,yes,Shell,350,0.640€
343,DE,50.38060658,7.57758138,yes,Shell,300,0.640€
344,DE,51.64339850,7.84439920,yes,Shell,300,0.640€
345,DE,49.90354150,8.52359130,yes,Shell,300,0.640€
346,DE,50.03409160,8.48087140,yes,Shell,300,0.640€
347,DE,48.46524861,9.92299615,yes,Shell,300,0.640€
348,DE,49.98142130,10.55513356,limited,Shell,300,0.640€
349,DE,50.15958062,7.58922480,limited,Shell,360,0.640€
350,DE,47.88621788,8.36099839,limited,Shell,360,0.640€
351,DE,50.91272956,9.57688381,limited,Shell,300,0.640€
352,DE,50.79758000,6.10896000,limited,Shell,350,0.640€
353,DE,53.94674000,10.30373000,limited,Shell,350,0.640€
354,DE,48.53218000,9.13791000,limited,Shell,350,0.640€
355,DE,51.16521000,12.26336000,limited,Shell,350,0.640€
356,DE,54.10987000,12.16830000,limited,Shell,350,0.640€
357,DE,51.40286000,9.18360000,limited,Shell,350,0.640€
358,DE,51.30812000,7.25231000,limited,Shell,350,0.640€
359,DE,51.47055110,13.86875920,limited,Shell,300,0.640€
360,DE,50.97135466,11.87583715,limited,Shell,300,0.640€
361,DE,53.15314190,12.48262520,yes,Shell,300,0.640€
362,DE,53.36138316,12.49703547,limited,Shell,350,0.640€
363,DE,52.24977875,8.03879833,yes,Shell,350,0.640€
364,DE,52.72613410,8.17904020,yes,Shell,350,0.640€
365,DE,50.34700100,7.50652800,limited,Shell,300,0.640€
366,DE,49.20044900,7.74805700,limited,Shell,150,0.640€
367,DE,49.18815955,9.21870700,limited,Shell,350,0.640€
368,DE,48.93281760,8.80036870,limited,Shell,350,0.640€
369,DE,48.38980600,11.06641900,limited,Shell,300,0.640€
370,DE,52.65827085,8.16810908,limited,Shell,360,0.640€
371,DE,50.98726000,13.27456000,limited,Shell,350,0.640€
372,DE,50.55143319,11.78909400,limited,TEAG,400,0.490€
373,DE,51.48907160,10.82949736,limited,TEAG,300,0.490€
374,DE,50.90075897,11.44599666,limited,TEAG,400,0.490€
375,DE,51.01228727,11.03987158,limited,TEAG,300,0.490€